 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
0.464144689,0.533853031,0.516622946,0.598740253,0.598740253,0.998926335,0.797399006,0.809325073,0.30363039,0.781523097,0.000125003,0,0.461400904,0.000122012,0,0.184020901,0.184020901,0.184020901,0.212253002,0.317535545,0.011827518,0.093314877,0.170746404,0.022389942,0.848137281,0.689720572,0.689720572,0.217623081,658000000,0.000444862,0.264649432,0.376215491,0.005209344,0.003161623,0.631168409,0.005159631,0.106629985,0.893370015,0.005006101,0.371210715,0.005365848,0.09328741,0.169753412,0.394955675,0.053973013,0.001426354,0.004436911,19100000,4540000000,0.017903226,0.012893086,0.390459284,0.037625327,0.745753442,0.128535312,0.123140175,0.007164813,0.005347945,0.000842145,0.044767116,0.34066203,0.27697486,0,0.388404061,0.731607237,0.328029139,0,0.931900415,0.002263537,0.008148303,8690000000,9710000000,0.593905243,1460000000,0.67157037,0.626004029,0.388404061,0.328029139,0.110933234,0.641702824,0.458984643,0.56460283,0.314387172,0.054811541,0,0.797546626,0.007179797,0.623594859,0.59874025,0.840156286,0.278520925,0.026990858,0.56595927,1,0.035443261
0.467167162,0.537396424,0.51860378,0.595396301,0.595396301,0.998959844,0.797399144,0.809322338,0.303560539,0.781576992,3780000000,0,0.465889971,0,0.142524547,0.185369348,0.185369348,0.185369348,0.217358419,0.332956073,0.051650861,0.095024835,0.173533178,0.022046019,0.847910789,0.689365959,0.689365959,0.217584956,5700000000,0.000444587,0.263973394,0.399295853,0.009613699,0.009239077,0.630620471,0.011094393,0.162408925,0.837591075,0.005620226,0.369637181,0.005365848,0.095013598,0.172528467,0.405015655,0.154422789,0.000517383,0.012203213,0.000267693,0.000587799,0.047419355,0.041123335,0.391838719,0.009030105,0.833419941,0.82752399,0.809867271,0.070770014,0.009544497,0.002384629,0.157348901,0.353160323,0.277003107,0.000535002,0.923566165,0.739485327,0.335357455,0,0.933089785,0.002333362,0.00678987,0.000196819,0.000207546,0.593968498,4760000000,0.671574133,0.142347016,0.923566165,0.335357455,0.110933234,0.646457951,0.459829544,0.630192227,0.315293589,0.030334747,0,0.800057303,0.001313396,0.624943185,0.595395936,0.840461326,0.282824764,0.026793305,0.56516862,1,0.022118895
0.453078536,0.514991278,0.504416725,0.5952882,0.5952882,0.998847994,0.797154696,0.809123918,0.303367422,0.781382044,0.000148015,1710000000,0.461201278,0.000421042,0,0.17420252,0.17420252,0.17420252,0.208565756,0.317394072,0.007199359,0.091442065,0.1641184,0.022042306,0.847949505,0.678530617,0.678530617,0.215952966,6250000000,0.000452697,0.263695208,0.375954696,0.004151001,0.002006271,0.62939857,0.004995486,0.104453245,0.895546755,0.006476619,0.373897017,0.00707139,0.091455372,0.163177739,0.39585195,0.03898051,0.000665497,0.009490344,9650000000,0.000167186,0.015645161,0.016471072,0.385755636,0.01220524,0.732527772,0.116886192,0.156284064,0.014357287,0.00308151,0.001086888,0.069771129,0.340297434,0.27663574,0.003118237,0.624823797,0.730765139,0.329028164,0.015683893,0.927970801,0.002042269,0.010733775,0.000158254,0.000122574,0.593866742,3950000000,0.671542326,0.117378542,0.624823797,0.329028164,0.11462493,0.628849958,0.455879946,0.563353605,0.312533957,0.067904942,0,0.784143734,0.004043026,0.622974682,0.595289002,0.839193734,0.278402209,0.02653602,0.563554652,1,0.036247636
0.495051918,0.552714784,0.54344451,0.601572522,0.601572522,0.998972092,0.797398591,0.809322338,0.303533711,0.781579378,0.000124656,0,0.471710995,0.000861086,0.113776698,0.18979394,0.18979394,0.18979394,0.221234755,0.336209946,0.102575737,0.100724697,0.176771861,0.022130123,0.848280683,0.689810855,0.689810855,0.217638952,655000000,0.000458886,0.264965693,0.405750531,0.014075463,0.008882864,0.631455049,0.00554902,0.11167881,0.88832119,0.006163327,0.371262159,0.005365848,0.100721416,0.175831385,0.403365116,0.413793103,0.001884897,0.003355008,0.000228714,0.001633279,0.082258065,0.023206968,0.392822415,0.001813882,0.874674869,0.599328015,0.79420958,0.08628147,0.01026463,0.004297589,0.106291094,0.36852293,0.277217934,0.010189618,0.897448597,0.740161508,0.330687531,0.001342179,0.934834426,0.002258616,0.062319863,6660000000,5240000000,0.593946281,2280000000,0.671578205,0.128877728,0.897448597,0.330687531,0.112543299,0.671810701,0.465803847,0.666279822,0.318897096,0.020828052,0,0.806410005,0.003821861,0.623862879,0.601574096,0.840819795,0.278803708,0.027074294,0.566223169,1,0.033713842
0.415882611,0.468163977,0.460677766,0.598869975,0.599050145,0.998878383,0.797241297,0.809170398,0.3034554,0.78141643,0.000177965,4450000000,0.461771638,0.000357036,0,0.173401879,0.173401879,0.173401879,0.180958684,0.318844168,0.050864377,0.075726732,0.141824207,0.022032381,0.846962004,0.688219801,0.688219801,0.217460819,6500000000,0.000432659,0.263214988,0.378031742,0.006193428,0.005099896,0.630259517,0.013653234,0.177555401,0.822444599,0.005356072,0.377457877,0.006490689,0.075748693,0.143601538,0.405295657,0.176911544,0.000876508,0.007218093,0.00032578,0.000426665,0.05516129,0.030644948,0.383539495,0.009545061,0.756083776,0.451588373,0.512277012,0.049740625,0.005335611,0.001727213,0.152672336,0.341603243,0.278916575,0.002571218,0.8198483,0.732489746,0.33620707,0.005801634,0.918351566,0.002081216,0.045167053,0.000108202,9960000000,0.593917845,3060000000,0.671576916,0.22056428,0.8198483,0.33620707,0.117913155,0.652628089,0.460673261,0.57003929,0.316816759,0.046463655,0,0.756616784,0.003846784,0.623686027,0.598871662,0.835506166,0.284680449,0.02668617,0.564602576,1,0.019912811
0.487008239,0.546500218,0.533112051,0.60052033,0.600642846,0.999017964,0.79742363,0.809334447,0.303481745,0.781593553,6370000000,2020000000,0.459040621,0.000351035,0.331207612,0.176730858,0.176730858,0.176730858,0.218682046,0.313397468,0.032397114,0.103818907,0.175039542,0.022088103,0.848037722,0.689498427,0.689498427,0.217599242,759000000,0.000452323,0.264020017,0.368661749,0.009618691,0.008386287,0.631669087,0.007086514,0.129183421,0.870816579,0.005774007,0.374842032,0.00553951,0.103848095,0.17404419,0.404222539,0.157421289,0.000641149,0.009872042,0.000216104,0.000454655,0.037580645,0.032345813,0.398114018,0.008985219,0.813166386,0.558317805,0.609916114,0.037744645,0.008550169,0.001684854,0.118658772,0.334515374,0.277139047,0.003113963,0.869583524,0.736508879,0.331736213,0.00247812,0.936609527,0.002306417,0.014908268,0.000160211,0.000151536,0.593959208,2780000000,0.671572187,0.164378603,0.869583524,0.331736213,0.11345993,0.642735437,0.459236396,0.538802908,0.314534162,0.030319396,0,0.802620637,0.00146651,0.624246217,0.60052109,0.840589144,0.279918631,0.027076645,0.566230131,1,0.028714969
0.447813582,0.510848234,0.494137802,0.591374912,0.591374912,0.998399209,0.796494674,0.808396114,0.303153035,0.78017755,0.000534356,0,0.461311995,0,0,0.14133412,0.132779908,0.132779908,0.200434906,0.316580604,0.001467096,0.091360638,0.162160127,0.021917699,0.848067603,0.689481634,0.689481634,0.217608579,4280000000,0.000407131,0.263886363,0.37507917,0.007604968,0.007826078,0.630612252,0.028718117,0.225292499,0.774707501,0.006372225,0.403769546,0.021250731,0.09138209,0.164308876,0.443736326,0.007496252,1420000000,0.461017774,19100000,2420000000,0.012580645,0.034002614,0.328339477,0.039501989,0.80561807,0.98894397,0.947434069,0.013721841,0.007743501,0.000315581,0.230757548,0.340433926,0.27697486,0,0.983773659,0.741309063,0.35130383,0.000257847,0.889129803,0.002026967,0.011547696,0.004324781,0.00453361,0.594543754,0.000161856,0.671476761,0.042974797,0.983773659,0.35130383,0.111878369,0.632450244,0.458077238,0.563043288,0.31053567,0.038115617,0,0.78221463,0.003719825,0.63214146,0.591373129,0.837416421,0.295606317,0.026791157,0.565158396,1,0.014857849
0.578901185,0.640209333,0.627549655,0.612879978,0.612764669,0.999117219,0.797551733,0.809451755,0.303497939,0.781720571,0.000159,9800000000,0.480299942,0.000447045,0.104464015,0.207113059,0.207113059,0.207113059,0.258863572,0.341727382,0.063856497,0.141845127,0.21066506,0.022186114,0.848343655,0.690620204,0.690620204,0.21773415,7700000000,0.000540487,0.265363545,0.406197608,0.017277949,0.011121203,0.630677319,0.002738489,0.068023098,0.931976902,0.006452036,0.369637181,0.005365848,0.141799795,0.208491064,0.402211615,0.266866567,0.001507512,0.004195255,8370000000,0.001143825,0.049516129,0.02253426,0.403688293,0.002839673,0.865960069,0.462609293,0.646702824,0.099726354,0.011942422,0.007443893,0.070768412,0.395256408,0.277216639,0.014123152,0.960994097,0.738125817,0.328608269,0,0.95086921,0.002419483,0.053172401,9500000000,6970000000,0.593963305,4360000000,0.67158507,0.12581952,0.960994097,0.328608269,0.110933234,0.68074506,0.472977133,0.688877538,0.319159908,0.016979041,0,0.854953209,0.000677061,0.623885969,0.612879143,0.843601517,0.276764852,0.026809421,0.565244002,1,0.056692069
0.475747087,0.544592237,0.527116013,0.5983655,0.598329466,0.998995201,0.797400251,0.80932351,0.303488513,0.781581343,4950000000,2890000000,0.462402389,380000000,0.124708979,0.217310691,0.217310691,0.217310691,0.223787463,0.320824786,0.123220957,0.115055777,0.178956089,0.022115869,0.848082978,0.689509651,0.689509651,0.217595704,5070000000,0.000436652,0.264027787,0.375358593,0.008267057,0.00796769,0.63063006,0.006481,0.122713668,0.877286332,0.014370892,0.371675953,0.007742274,0.115068315,0.177965463,0.403543299,0.295352324,0.000848102,0.007456333,0.001788444,0.009000054,0.068064516,0.172465961,0.411840528,0.002277167,0.792445024,0.556382189,0.556752839,0.116072682,0.008044481,0.004897382,0.125565018,0.343611316,0.277052392,0.000930635,0.968807696,0.734875675,0.331840877,0,0.934344357,0.002287785,0.026337139,5750000000,6310000000,0.59392806,3880000000,0.671580863,0.017243665,0.968807696,0.331840877,0.110933234,0.676096718,0.466122147,0.576400249,0.319852925,0.035149598,0,0.804864992,0.017104617,0.623944529,0.598362775,0.840746538,0.279479611,0.026795976,0.565181273,1,0.030406091
0.50631307,0.590002181,0.554901226,0.59818533,0.598242984,0.998982607,0.79758535,0.80948183,0.303838251,0.781682536,6070000000,696000000,0.477211612,0.000309031,0.095859905,0.199148793,0.199148793,0.199148793,0.227852888,0.328146,0.025560748,0.097793339,0.188822776,0.022026771,0.847947622,0.689382002,0.689382002,0.217584282,7690000000,0.000447732,0.263891026,0.380304385,0.019410236,0.010559123,0.630711223,0.002683774,0.066964961,0.933035039,0.007972832,0.371246502,0.008600834,0.097806439,0.187866677,0.397117988,0.11844078,0.003451249,0.001832489,0.000129356,0.00079281,0.024516129,0.029237842,0.394077475,0.00480862,0.833075661,0.306071831,0.434312361,0.199464776,0.013245904,0.024728279,0.04241892,0.368563414,0.277209192,0.016261847,0.580744429,0.736336268,0.327628089,0.004785987,0.953820906,0.002791105,0.00965437,0.000151722,0.000109134,0.593992858,0.000195632,0.671619844,0.073162664,0.580744429,0.327628089,0.113483426,0.705647343,0.482335674,0.62717747,0.322150192,0.015109574,0,0.827678781,0.013693739,0.624567572,0.598186054,0.841946633,0.27672521,0.026819382,0.565289479,1,0.057593186
